date,value
2020-01-01,65.27
2020-01-02,65.49
2020-01-03,65.91
2020-01-04,66.28
2020-01-05,64.38
2020-01-06,66.55
2020-01-07,66.63
2020-01-08,66.55
2020-01-09,66.87
2020-01-10,67.14
2020-01-11,65.51
2020-01-12,65.06
2020-01-13,66.70
2020-01-14,67.74
2020-01-15,66.68
2020-01-16,66.97
2020-01-17,67.03
2020-01-18,67.04
2020-01-19,64.63
2020-01-20,67.46
2020-01-21,67.42
2020-01-22,67.68
2020-01-23,67.25
2020-01-24,66.93
2020-01-25,67.27
2020-01-26,66.45
2020-01-27,67.55
2020-01-28,67.41
2020-01-29,67.42
2020-01-30,67.61
2020-01-31,67.59
2020-02-01,66.98
2020-02-02,65.95
2020-02-03,67.73
2020-02-04,67.81
2020-02-05,68.08
2020-02-06,68.00
2020-02-07,68.06
2020-02-08,66.39
2020-02-09,67.14
2020-02-10,67.64
2020-02-11,67.99
2020-02-12,67.62
2020-02-13,67.92
2020-02-14,68.26
2020-02-15,67.74
2020-02-16,66.07
2020-02-17,68.35
2020-02-18,67.92
2020-02-19,67.89
2020-02-20,67.56
2020-02-21,66.60
2020-02-22,68.23
2020-02-23,66.35
2020-02-24,67.63
2020-02-25,67.64
2020-02-26,67.76
2020-02-27,67.54
2020-02-28,67.32
2020-02-29,67.43
2020-03-01,65.47
2020-03-02,67.58
2020-03-03,67.46
2020-03-04,67.20
2020-03-05,66.88
2020-03-06,67.40
2020-03-07,67.15
2020-03-08,65.77
2020-03-09,66.81
2020-03-10,67.61
2020-03-11,67.67
2020-03-12,67.45
2020-03-13,67.17
2020-03-14,65.89
2020-03-15,65.38
2020-03-16,67.33
2020-03-17,67.69
2020-03-18,67.16
2020-03-19,67.29
2020-03-20,67.20
2020-03-21,66.73
2020-03-22,65.32
2020-03-23,67.49
2020-03-24,66.79
2020-03-25,67.05
2020-03-26,67.38
2020-03-27,68.19
2020-03-28,67.76
2020-03-29,67.44
2020-03-30,68.76
2020-03-31,68.45
2020-04-01,68.94
2020-04-02,70.36
2020-04-03,70.40
2020-04-04,70.37
2020-04-05,70.36
2020-04-06,71.13
2020-04-07,71.59
2020-04-08,71.98
2020-04-09,72.02
2020-04-10,72.40
2020-04-11,72.24
2020-04-12,72.25
2020-04-13,72.68
2020-04-14,72.55
2020-04-15,73.12
2020-04-16,73.51
2020-04-17,73.38
2020-04-18,73.67
2020-04-19,73.35
2020-04-20,73.70
2020-04-21,73.85
2020-04-22,74.16
2020-04-23,74.18
2020-04-24,74.37
2020-04-25,74.69
2020-04-26,74.53
2020-04-27,74.90
2020-04-28,74.90
2020-04-29,75.48
2020-04-30,76.07
2020-05-01,75.21
2020-05-02,75.70
2020-05-03,75.80
2020-05-04,76.03
2020-05-05,75.79
2020-05-06,75.97
2020-05-07,75.90
2020-05-08,76.71
2020-05-09,75.71
2020-05-10,75.36
