date,value
2020-01-01,45.33
2020-01-02,45.21
2020-01-03,44.97
2020-01-04,45.08
2020-01-05,44.87
2020-01-06,44.84
2020-01-07,45.31
2020-01-08,45.40
2020-01-09,45.21
2020-01-10,45.23
2020-01-11,45.39
2020-01-12,44.73
2020-01-13,45.01
2020-01-14,45.20
2020-01-15,45.80
2020-01-16,45.23
2020-01-17,45.03
2020-01-18,45.20
2020-01-19,45.02
2020-01-20,45.04
2020-01-21,44.80
2020-01-22,45.47
2020-01-23,45.51
2020-01-24,45.22
2020-01-25,45.05
2020-01-26,44.33
2020-01-27,45.29
2020-01-28,45.14
2020-01-29,45.34
2020-01-30,45.61
2020-01-31,45.73
2020-02-01,45.61
2020-02-02,45.22
2020-02-03,45.39
2020-02-04,45.44
2020-02-05,45.29
2020-02-06,45.36
2020-02-07,45.46
2020-02-08,45.56
2020-02-09,45.14
2020-02-10,45.42
2020-02-11,45.66
2020-02-12,45.19
2020-02-13,45.73
2020-02-14,45.55
2020-02-15,44.82
2020-02-16,44.86
2020-02-17,45.36
2020-02-18,45.33
2020-02-19,45.40
2020-02-20,45.39
2020-02-21,46.49
2020-02-22,45.03
2020-02-23,44.93
2020-02-24,45.27
2020-02-25,45.51
2020-02-26,45.45
2020-02-27,45.30
2020-02-28,45.06
2020-02-29,44.79
2020-03-01,44.98
2020-03-02,45.49
2020-03-03,45.51
2020-03-04,45.38
2020-03-05,45.72
2020-03-06,45.38
2020-03-07,44.88
2020-03-08,45.33
2020-03-09,44.41
2020-03-10,45.32
2020-03-11,45.49
2020-03-12,45.51
2020-03-13,45.42
2020-03-14,45.04
2020-03-15,44.72
2020-03-16,45.53
2020-03-17,45.66
2020-03-18,45.74
2020-03-19,45.74
2020-03-20,46.14
2020-03-21,45.76
2020-03-22,46.96
2020-03-23,45.79
2020-03-24,45.75
2020-03-25,45.95
2020-03-26,46.15
2020-03-27,45.79
2020-03-28,45.77
2020-03-29,45.63
2020-03-30,46.08
2020-03-31,45.84
2020-04-01,45.88
2020-04-02,46.39
2020-04-03,45.98
2020-04-04,46.09
2020-04-05,46.00
2020-04-06,46.31
2020-04-07,46.07
2020-04-08,45.95
2020-04-09,46.15
2020-04-10,46.15
2020-04-11,46.25
2020-04-12,45.49
2020-04-13,46.15
2020-04-14,46.38
2020-04-15,46.19
2020-04-16,46.30
2020-04-17,46.08
2020-04-18,45.99
2020-04-19,46.62
2020-04-20,46.43
2020-04-21,46.22
2020-04-22,46.09
2020-04-23,46.29
2020-04-24,46.14
2020-04-25,46.71
2020-04-26,46.83
2020-04-27,46.33
2020-04-28,46.69
2020-04-29,46.82
2020-04-30,46.93
2020-05-01,47.30
2020-05-02,47.18
2020-05-03,46.60
2020-05-04,46.58
2020-05-05,46.38
2020-05-06,46.56
2020-05-07,46.61
2020-05-08,46.63
2020-05-09,47.21
2020-05-10,46.61
2020-05-11,46.36
2020-05-12,46.55
2020-05-13,46.86
2020-05-14,46.74
2020-05-15,46.55
2020-05-16,46.65
2020-05-17,46.63
2020-05-18,46.52
2020-05-19,46.79
2020-05-20,46.85
2020-05-21,46.65
2020-05-22,47.08
2020-05-23,46.62
2020-05-24,46.95
2020-05-25,46.74
2020-05-26,46.77
2020-05-27,46.47
2020-05-28,46.44
2020-05-29,46.76
2020-05-30,46.77
2020-05-31,47.27
2020-06-01,46.55
2020-06-02,46.88
2020-06-03,46.70
2020-06-04,46.81
2020-06-05,46.97
2020-06-06,46.30
2020-06-07,46.56
2020-06-08,46.77
2020-06-09,46.66
2020-06-10,46.67
2020-06-11,46.65
2020-06-12,46.95
2020-06-13,47.12
2020-06-14,47.43
2020-06-15,46.68
2020-06-16,46.90
2020-06-17,46.74
2020-06-18,47.18
2020-06-19,47.05
2020-06-20,46.69
2020-06-21,47.47
2020-06-22,46.79
2020-06-23,46.85
2020-06-24,46.70
2020-06-25,46.98
2020-06-26,46.88
2020-06-27,47.26
2020-06-28,47.11
2020-06-29,47.19
2020-06-30,47.30
2020-07-01,46.61
2020-07-02,46.74
2020-07-03,47.10
2020-07-04,47.13
2020-07-05,48.07
2020-07-06,47.08
2020-07-07,47.11
2020-07-08,47.06
