date,value
2020-01-01,89.96
2020-01-02,89.50
2020-01-03,90.71
2020-01-04,91.77
2020-01-05,89.53
2020-01-06,92.57
2020-01-07,92.33
2020-01-08,91.37
2020-01-09,92.20
2020-01-10,92.93
2020-01-11,92.23
2020-01-12,90.85
2020-01-13,92.55
2020-01-14,94.26
2020-01-15,92.88
2020-01-16,93.53
2020-01-17,93.57
2020-01-18,93.53
2020-01-19,90.24
2020-01-20,94.57
2020-01-21,94.65
2020-01-22,94.69
2020-01-23,95.15
2020-01-24,94.58
2020-01-25,95.43
2020-01-26,92.87
2020-01-27,94.42
2020-01-28,94.19
2020-01-29,94.86
2020-01-30,95.44
2020-01-31,95.87
2020-02-01,94.83
2020-02-02,93.78
2020-02-03,96.57
2020-02-04,95.72
2020-02-05,96.33
2020-02-06,95.93
2020-02-07,96.13
2020-02-08,93.56
2020-02-09,93.22
2020-02-10,95.74
2020-02-11,96.37
2020-02-12,95.39
2020-02-13,96.08
2020-02-14,96.93
2020-02-15,95.93
2020-02-16,92.67
2020-02-17,97.27
2020-02-18,96.86
2020-02-19,97.47
2020-02-20,97.27
2020-02-21,96.13
2020-02-22,98.10
2020-02-23,95.80
2020-02-24,97.69
2020-02-25,97.42
2020-02-26,97.91
2020-02-27,97.59
2020-02-28,97.54
2020-02-29,97.44
2020-03-01,94.43
2020-03-02,98.16
2020-03-03,98.48
2020-03-04,98.32
2020-03-05,98.02
2020-03-06,98.32
2020-03-07,97.75
2020-03-08,95.43
2020-03-09,97.25
2020-03-10,99.13
2020-03-11,99.15
2020-03-12,99.20
2020-03-13,98.81
2020-03-14,96.82
2020-03-15,94.58
2020-03-16,98.53
2020-03-17,98.74
2020-03-18,99.17
2020-03-19,99.69
2020-03-20,99.09
2020-03-21,97.11
2020-03-22,95.30
2020-03-23,97.96
2020-03-24,98.97
2020-03-25,99.11
2020-03-26,99.05
2020-03-27,99.67
2020-03-28,99.24
2020-03-29,99.64
2020-03-30,101.55
2020-03-31,102.99
2020-04-01,103.43
2020-04-02,104.60
2020-04-03,104.68
2020-04-04,104.16
2020-04-05,104.20
2020-04-06,106.54
2020-04-07,107.43
2020-04-08,107.29
2020-04-09,107.42
2020-04-10,108.80
2020-04-11,107.12
2020-04-12,107.31
2020-04-13,108.63
2020-04-14,107.71
2020-04-15,108.90
2020-04-16,109.54
2020-04-17,109.59
