date,value
2020-01-01,115.17
2020-01-02,115.62
2020-01-03,115.87
2020-01-04,117.39
2020-01-05,115.36
2020-01-06,117.66
2020-01-07,117.11
2020-01-08,115.79
2020-01-09,115.95
2020-01-10,116.83
2020-01-11,116.79
2020-01-12,114.52
2020-01-13,116.81
2020-01-14,117.84
2020-01-15,115.93
2020-01-16,116.11
2020-01-17,117.25
2020-01-18,117.20
2020-01-19,115.36
2020-01-20,119.11
2020-01-21,118.94
2020-01-22,118.05
2020-01-23,118.09
2020-01-24,118.74
2020-01-25,117.88
2020-01-26,117.30
2020-01-27,118.07
2020-01-28,117.81
2020-01-29,117.90
2020-01-30,117.72
2020-01-31,117.68
2020-02-01,117.57
2020-02-02,116.55
2020-02-03,119.29
2020-02-04,117.81
2020-02-05,118.08
2020-02-06,117.88
2020-02-07,117.79
2020-02-08,116.16
2020-02-09,116.47
2020-02-10,117.08
2020-02-11,117.59
2020-02-12,117.28
2020-02-13,116.82
2020-02-14,118.18
2020-02-15,118.17
2020-02-16,114.82
2020-02-17,118.33
2020-02-18,118.98
2020-02-19,118.23
2020-02-20,118.28
2020-02-21,117.94
2020-02-22,119.68
2020-02-23,117.58
2020-02-24,117.86
2020-02-25,117.50
2020-02-26,118.44
2020-02-27,117.10
2020-02-28,117.00
2020-02-29,117.56
2020-03-01,115.18
2020-03-02,117.30
2020-03-03,118.16
2020-03-04,117.19
2020-03-05,115.68
2020-03-06,117.96
2020-03-07,117.20
2020-03-08,115.68
2020-03-09,117.92
2020-03-10,118.77
2020-03-11,119.26
2020-03-12,118.16
2020-03-13,118.19
2020-03-14,116.58
2020-03-15,115.12
2020-03-16,117.85
2020-03-17,118.09
2020-03-18,116.96
2020-03-19,117.22
2020-03-20,117.34
2020-03-21,115.44
2020-03-22,113.50
2020-03-23,118.19
2020-03-24,116.88
2020-03-25,116.56
2020-03-26,115.61
2020-03-27,115.89
2020-03-28,115.41
2020-03-29,115.18
2020-03-30,116.25
2020-03-31,117.32
2020-04-01,117.03
2020-04-02,118.52
2020-04-03,118.13
2020-04-04,117.47
2020-04-05,117.18
