date,value
2021-01-01,36.46
2021-01-02,33.48
2021-01-03,31.40
2021-01-04,36.03
2021-01-05,35.00
2021-01-06,36.75
2021-01-07,37.82
2021-01-08,37.89
2021-01-09,37.94
2021-01-10,38.82
2021-01-11,39.49
2021-01-12,40.38
2021-01-13,39.36
2021-01-14,38.79
2021-01-15,38.73
2021-01-16,39.16
2021-01-17,38.26
2021-01-18,39.07
2021-01-19,40.36
2021-01-20,39.15
2021-01-21,40.20
2021-01-22,40.89
2021-01-23,39.62
2021-01-24,39.56
2021-01-25,40.12
2021-01-26,39.36
2021-01-27,38.55
2021-01-28,38.24
2021-01-29,37.69
2021-01-30,38.48
2021-01-31,38.52
2021-02-01,38.78
2021-02-02,39.69
2021-02-03,39.77
2021-02-04,40.84
2021-02-05,40.99
2021-02-06,41.24
2021-02-07,40.70
2021-02-08,41.84
2021-02-09,41.71
2021-02-10,42.10
2021-02-11,42.78
2021-02-12,43.63
2021-02-13,43.12
2021-02-14,43.13
2021-02-15,44.38
2021-02-16,45.21
2021-02-17,45.44
2021-02-18,46.27
2021-02-19,46.39
2021-02-20,47.27
2021-02-21,46.70
2021-02-22,46.78
2021-02-23,47.08
2021-02-24,47.91
2021-02-25,47.77
2021-02-26,47.64
2021-02-27,47.10
2021-02-28,46.23
2021-03-01,44.95
2021-03-02,44.07
2021-03-03,43.51
2021-03-04,43.18
2021-03-05,42.63
2021-03-06,42.46
2021-03-07,41.08
2021-03-08,41.14
2021-03-09,39.08
2021-03-10,38.54
2021-03-11,38.02
2021-03-12,36.01
2021-03-13,36.31
2021-03-14,35.78
2021-03-15,33.60
2021-03-16,32.67
2021-03-17,32.37
2021-03-18,31.31
2021-03-19,31.67
2021-03-20,31.42
2021-03-21,30.75
2021-03-22,29.84
2021-03-23,28.99
2021-03-24,28.02
2021-03-25,27.76
2021-03-26,27.57
2021-03-27,27.22
2021-03-28,26.98
2021-03-29,26.37
2021-03-30,26.10
2021-03-31,25.83
2021-04-01,26.05
2021-04-02,26.54
2021-04-03,25.69
2021-04-04,25.27
2021-04-05,25.59
2021-04-06,24.75
2021-04-07,24.48
2021-04-08,24.42
2021-04-09,24.04
2021-04-10,24.70
2021-04-11,24.01
2021-04-12,23.74
2021-04-13,24.53
2021-04-14,24.29
2021-04-15,23.88
2021-04-16,23.34
2021-04-17,23.04
2021-04-18,22.71
2021-04-19,23.17
2021-04-20,22.95
2021-04-21,23.12
2021-04-22,22.57
2021-04-23,22.73
2021-04-24,23.82
2021-04-25,22.98
2021-04-26,22.92
2021-04-27,22.98
2021-04-28,23.44
2021-04-29,23.15
2021-04-30,23.31
2021-05-01,23.34
2021-05-02,23.79
2021-05-03,23.46
2021-05-04,23.02
2021-05-05,23.61
2021-05-06,24.28
2021-05-07,22.98
2021-05-08,23.13
2021-05-09,23.67
2021-05-10,23.72
2021-05-11,23.85
2021-05-12,23.49
2021-05-13,23.43
2021-05-14,23.84
2021-05-15,23.44
2021-05-16,23.28
2021-05-17,23.56
2021-05-18,23.40
2021-05-19,23.70
2021-05-20,23.88
2021-05-21,23.76
2021-05-22,23.09
2021-05-23,23.42
2021-05-24,23.44
2021-05-25,24.48
2021-05-26,23.46
2021-05-27,23.77
