date,value
2020-01-01,26.55
2020-01-02,26.96
2020-01-03,27.24
2020-01-04,27.69
2020-01-05,26.83
2020-01-06,27.24
2020-01-07,27.84
2020-01-08,26.64
2020-01-09,27.05
2020-01-10,27.56
2020-01-11,26.95
2020-01-12,27.17
2020-01-13,27.45
2020-01-14,27.61
2020-01-15,25.84
2020-01-16,26.86
2020-01-17,26.60
2020-01-18,26.72
2020-01-19,26.54
2020-01-20,27.79
2020-01-21,27.40
2020-01-22,27.51
2020-01-23,27.45
2020-01-24,27.16
2020-01-25,26.88
2020-01-26,27.04
2020-01-27,25.64
2020-01-28,25.75
2020-01-29,25.55
2020-01-30,25.41
2020-01-31,24.99
2020-02-01,24.29
2020-02-02,24.40
2020-02-03,25.08
2020-02-04,24.58
2020-02-05,25.10
2020-02-06,24.89
2020-02-07,24.55
2020-02-08,23.34
2020-02-09,24.59
2020-02-10,23.62
2020-02-11,24.04
2020-02-12,23.50
2020-02-13,23.41
2020-02-14,23.48
2020-02-15,22.80
2020-02-16,22.26
2020-02-17,23.11
2020-02-18,22.80
2020-02-19,22.76
2020-02-20,22.49
2020-02-21,22.93
2020-02-22,22.90
2020-02-23,22.18
2020-02-24,22.19
2020-02-25,21.84
2020-02-26,22.08
2020-02-27,21.85
2020-02-28,21.82
2020-02-29,22.30
2020-03-01,21.14
2020-03-02,22.03
2020-03-03,21.96
2020-03-04,21.77
2020-03-05,21.09
2020-03-06,21.86
2020-03-07,21.77
2020-03-08,21.02
2020-03-09,21.51
2020-03-10,22.76
2020-03-11,22.58
2020-03-12,22.13
2020-03-13,22.28
2020-03-14,20.97
2020-03-15,20.77
2020-03-16,22.30
2020-03-17,22.33
2020-03-18,22.29
2020-03-19,22.45
2020-03-20,22.68
2020-03-21,22.25
2020-03-22,21.28
2020-03-23,24.17
2020-03-24,25.32
2020-03-25,25.27
2020-03-26,25.31
2020-03-27,26.07
2020-03-28,25.81
2020-03-29,26.65
2020-03-30,27.26
2020-03-31,27.42
2020-04-01,27.08
2020-04-02,27.59
2020-04-03,27.41
2020-04-04,26.47
2020-04-05,26.19
2020-04-06,26.26
2020-04-07,26.72
2020-04-08,26.36
2020-04-09,26.35
2020-04-10,26.92
2020-04-11,25.89
2020-04-12,26.60
2020-04-13,26.92
