date,value
2020-01-01,33.46
2020-01-02,33.63
2020-01-03,33.40
2020-01-04,33.79
2020-01-05,32.17
2020-01-06,34.28
2020-01-07,33.62
2020-01-08,33.39
2020-01-09,33.32
2020-01-10,33.78
2020-01-11,32.79
2020-01-12,32.68
2020-01-13,33.80
2020-01-14,33.99
2020-01-15,32.38
2020-01-16,33.54
2020-01-17,33.55
2020-01-18,33.49
2020-01-19,32.43
2020-01-20,33.71
2020-01-21,33.59
2020-01-22,33.78
2020-01-23,33.85
2020-01-24,33.88
2020-01-25,33.55
2020-01-26,33.29
2020-01-27,33.75
2020-01-28,33.77
2020-01-29,33.89
2020-01-30,33.67
2020-01-31,33.50
2020-02-01,32.83
2020-02-02,32.93
2020-02-03,34.33
2020-02-04,33.85
2020-02-05,33.58
2020-02-06,33.42
2020-02-07,33.71
2020-02-08,32.39
2020-02-09,33.29
2020-02-10,33.54
2020-02-11,33.78
2020-02-12,33.38
2020-02-13,33.34
2020-02-14,33.87
2020-02-15,32.97
2020-02-16,31.86
2020-02-17,34.03
2020-02-18,33.95
2020-02-19,33.83
2020-02-20,34.00
2020-02-21,33.78
2020-02-22,33.67
2020-02-23,33.36
2020-02-24,33.48
2020-02-25,33.36
2020-02-26,34.06
2020-02-27,33.34
2020-02-28,33.57
2020-02-29,33.52
2020-03-01,32.84
2020-03-02,33.60
2020-03-03,34.00
2020-03-04,33.93
2020-03-05,32.82
2020-03-06,33.97
2020-03-07,32.99
2020-03-08,32.73
2020-03-09,33.34
2020-03-10,34.58
2020-03-11,34.31
2020-03-12,33.82
2020-03-13,34.07
2020-03-14,32.59
2020-03-15,32.45
2020-03-16,33.63
2020-03-17,33.97
2020-03-18,33.41
2020-03-19,33.55
2020-03-20,33.82
2020-03-21,32.47
2020-03-22,31.60
2020-03-23,33.47
2020-03-24,33.03
2020-03-25,32.55
2020-03-26,32.00
2020-03-27,32.40
2020-03-28,32.86
2020-03-29,32.96
2020-03-30,33.78
2020-03-31,33.46
2020-04-01,33.32
2020-04-02,33.78
2020-04-03,33.98
2020-04-04,33.57
2020-04-05,33.28
2020-04-06,33.53
2020-04-07,34.14
2020-04-08,34.10
2020-04-09,34.31
2020-04-10,34.16
2020-04-11,33.45
2020-04-12,33.87
2020-04-13,34.33
2020-04-14,33.18
2020-04-15,34.26
2020-04-16,34.45
2020-04-17,34.36
2020-04-18,34.67
2020-04-19,33.37
2020-04-20,34.57
2020-04-21,34.69
2020-04-22,34.73
2020-04-23,34.66
2020-04-24,34.57
2020-04-25,34.27
2020-04-26,33.35
2020-04-27,34.12
2020-04-28,33.91
2020-04-29,34.02
2020-04-30,34.40
2020-05-01,33.46
2020-05-02,34.03
2020-05-03,33.35
2020-05-04,34.54
2020-05-05,34.42
2020-05-06,34.59
2020-05-07,34.10
2020-05-08,34.49
2020-05-09,33.56
2020-05-10,32.81
2020-05-11,34.40
2020-05-12,34.23
2020-05-13,34.46
2020-05-14,34.41
2020-05-15,34.19
2020-05-16,34.48
2020-05-17,33.11
2020-05-18,34.53
2020-05-19,34.08
2020-05-20,34.48
2020-05-21,34.24
2020-05-22,34.41
2020-05-23,33.86
2020-05-24,33.14
2020-05-25,34.18
2020-05-26,34.20
2020-05-27,34.19
2020-05-28,34.11
2020-05-29,34.31
2020-05-30,34.06
2020-05-31,33.20
2020-06-01,34.16
2020-06-02,34.47
2020-06-03,34.95
2020-06-04,34.19
2020-06-05,34.64
2020-06-06,34.12
2020-06-07,33.12
2020-06-08,34.68
2020-06-09,34.34
2020-06-10,34.39
2020-06-11,34.40
2020-06-12,34.45
2020-06-13,34.04
2020-06-14,34.10
2020-06-15,34.50
2020-06-16,34.32
2020-06-17,34.36
2020-06-18,34.30
2020-06-19,34.37
2020-06-20,34.35
2020-06-21,33.59
2020-06-22,34.61
2020-06-23,34.61
2020-06-24,34.73
2020-06-25,34.58
2020-06-26,34.68
2020-06-27,33.70
2020-06-28,33.57
