date,value
2020-01-01,104.16
2020-01-02,103.41
2020-01-03,104.69
2020-01-04,102.81
2020-01-05,99.96
2020-01-06,105.30
2020-01-07,105.81
2020-01-08,106.13
2020-01-09,106.30
2020-01-10,106.27
2020-01-11,105.21
2020-01-12,101.50
2020-01-13,105.74
2020-01-14,106.86
2020-01-15,107.55
2020-01-16,107.03
2020-01-17,107.31
2020-01-18,105.47
2020-01-19,102.43
2020-01-20,106.46
2020-01-21,107.99
2020-01-22,107.90
2020-01-23,107.78
2020-01-24,107.83
2020-01-25,106.81
2020-01-26,103.37
2020-01-27,107.72
2020-01-28,107.79
2020-01-29,106.49
2020-01-30,105.82
2020-01-31,108.25
2020-02-01,107.28
2020-02-02,103.91
2020-02-03,107.67
2020-02-04,108.09
2020-02-05,107.58
2020-02-06,107.86
2020-02-07,108.15
2020-02-08,107.72
2020-02-09,103.14
2020-02-10,107.92
2020-02-11,108.82
2020-02-12,108.82
2020-02-13,108.77
2020-02-14,108.94
2020-02-15,107.08
2020-02-16,104.02
2020-02-17,109.02
2020-02-18,108.83
2020-02-19,107.94
2020-02-20,108.35
2020-02-21,105.83
2020-02-22,108.19
2020-02-23,104.51
2020-02-24,107.87
2020-02-25,107.97
2020-02-26,108.06
2020-02-27,107.24
2020-02-28,106.91
2020-02-29,106.25
2020-03-01,102.63
2020-03-02,107.64
2020-03-03,107.77
2020-03-04,107.66
2020-03-05,107.23
2020-03-06,107.96
2020-03-07,106.37
2020-03-08,103.20
2020-03-09,104.91
2020-03-10,102.74
2020-03-11,105.93
2020-03-12,107.14
2020-03-13,106.95
2020-03-14,106.36
2020-03-15,102.53
2020-03-16,107.37
2020-03-17,107.69
2020-03-18,107.35
2020-03-19,107.24
2020-03-20,107.52
2020-03-21,105.14
2020-03-22,102.35
2020-03-23,105.79
2020-03-24,104.52
2020-03-25,104.11
2020-03-26,105.07
2020-03-27,105.16
2020-03-28,105.62
2020-03-29,104.24
2020-03-30,106.42
2020-03-31,107.03
2020-04-01,106.75
2020-04-02,107.44
2020-04-03,106.70
2020-04-04,107.54
2020-04-05,107.82
2020-04-06,108.11
2020-04-07,107.78
2020-04-08,108.69
2020-04-09,108.76
2020-04-10,108.16
2020-04-11,109.67
2020-04-12,107.83
2020-04-13,109.05
2020-04-14,110.05
2020-04-15,110.38
2020-04-16,110.22
2020-04-17,110.41
2020-04-18,110.54
2020-04-19,110.08
2020-04-20,110.66
2020-04-21,110.60
2020-04-22,110.60
2020-04-23,110.68
2020-04-24,110.65
2020-04-25,111.04
2020-04-26,110.24
2020-04-27,111.15
2020-04-28,111.18
2020-04-29,111.41
2020-04-30,111.73
2020-05-01,112.08
2020-05-02,111.66
2020-05-03,111.51
2020-05-04,111.24
2020-05-05,110.80
2020-05-06,111.21
2020-05-07,111.00
2020-05-08,111.29
2020-05-09,112.21
2020-05-10,111.19
2020-05-11,111.29
2020-05-12,110.94
2020-05-13,110.70
2020-05-14,111.61
2020-05-15,111.08
2020-05-16,110.72
2020-05-17,109.62
2020-05-18,110.52
2020-05-19,110.59
2020-05-20,110.97
2020-05-21,110.49
2020-05-22,111.16
2020-05-23,110.16
2020-05-24,109.91
2020-05-25,109.63
2020-05-26,110.94
2020-05-27,110.90
2020-05-28,110.54
2020-05-29,110.32
2020-05-30,110.55
2020-05-31,109.69
2020-06-01,111.10
2020-06-02,111.03
2020-06-03,111.16
2020-06-04,111.16
2020-06-05,111.52
2020-06-06,110.54
2020-06-07,109.25
2020-06-08,111.85
2020-06-09,111.61
2020-06-10,111.73
2020-06-11,111.33
2020-06-12,111.85
2020-06-13,111.95
2020-06-14,109.39
2020-06-15,112.07
2020-06-16,111.32
2020-06-17,111.80
2020-06-18,111.91
2020-06-19,112.51
2020-06-20,112.36
2020-06-21,108.68
2020-06-22,112.28
2020-06-23,111.79
2020-06-24,112.02
2020-06-25,112.20
2020-06-26,112.88
2020-06-27,113.00
2020-06-28,109.22
2020-06-29,112.92
2020-06-30,112.89
2020-07-01,112.22
2020-07-02,112.49
2020-07-03,112.67
2020-07-04,112.51
2020-07-05,109.00
2020-07-06,112.12
2020-07-07,112.81
2020-07-08,113.27
2020-07-09,113.26
2020-07-10,113.30
2020-07-11,112.88
2020-07-12,107.98
2020-07-13,112.70
2020-07-14,113.33
2020-07-15,113.66
2020-07-16,113.62
2020-07-17,113.45
2020-07-18,112.77
2020-07-19,108.69
2020-07-20,114.72
2020-07-21,114.38
2020-07-22,114.26
2020-07-23,113.77
2020-07-24,113.58
2020-07-25,111.22
2020-07-26,108.06
2020-07-27,113.21
2020-07-28,113.54
2020-07-29,113.47
2020-07-30,113.42
2020-07-31,113.79
2020-08-01,110.43
2020-08-02,108.09
2020-08-03,111.42
2020-08-04,113.24
2020-08-05,113.95
2020-08-06,113.87
2020-08-07,113.87
2020-08-08,113.42
2020-08-09,109.92
2020-08-10,114.56
2020-08-11,113.66
2020-08-12,111.12
2020-08-13,113.79
2020-08-14,114.41
2020-08-15,111.17
2020-08-16,109.96
2020-08-17,114.02
2020-08-18,114.10
2020-08-19,114.06
2020-08-20,114.26
2020-08-21,114.29
