date,value
2020-01-01,216.56
2020-01-02,219.68
2020-01-03,217.17
2020-01-04,217.59
2020-01-05,215.96
2020-01-06,215.60
2020-01-07,221.12
2020-01-08,222.76
2020-01-09,218.83
2020-01-10,218.79
2020-01-11,217.41
2020-01-12,216.25
2020-01-13,214.08
2020-01-14,220.85
2020-01-15,214.66
2020-01-16,217.72
2020-01-17,217.39
2020-01-18,218.97
2020-01-19,215.45
2020-01-20,219.68
2020-01-21,219.82
2020-01-22,217.18
2020-01-23,222.86
2020-01-24,217.92
2020-01-25,210.58
2020-01-26,215.94
2020-01-27,222.66
2020-01-28,217.49
2020-01-29,219.96
2020-01-30,221.30
2020-01-31,221.32
2020-02-01,216.85
2020-02-02,211.96
2020-02-03,219.35
2020-02-04,218.90
2020-02-05,218.77
2020-02-06,218.03
2020-02-07,219.87
2020-02-08,212.59
2020-02-09,214.24
2020-02-10,219.96
2020-02-11,224.02
2020-02-12,219.60
2020-02-13,219.61
2020-02-14,222.10
2020-02-15,213.21
2020-02-16,211.05
2020-02-17,219.58
2020-02-18,219.24
2020-02-19,219.94
2020-02-20,221.29
2020-02-21,224.54
2020-02-22,218.64
2020-02-23,215.17
2020-02-24,218.48
2020-02-25,215.78
2020-02-26,217.78
2020-02-27,218.04
2020-02-28,218.61
2020-02-29,216.67
2020-03-01,210.62
2020-03-02,220.20
2020-03-03,218.92
2020-03-04,217.61
2020-03-05,213.94
2020-03-06,218.26
2020-03-07,217.15
2020-03-08,214.93
2020-03-09,222.08
2020-03-10,219.83
2020-03-11,221.83
2020-03-12,218.99
2020-03-13,217.67
2020-03-14,210.44
2020-03-15,210.10
2020-03-16,216.48
2020-03-17,219.97
2020-03-18,221.04
2020-03-19,222.52
2020-03-20,222.96
2020-03-21,217.55
2020-03-22,212.00
2020-03-23,217.69
2020-03-24,217.30
2020-03-25,212.29
2020-03-26,212.81
2020-03-27,212.31
2020-03-28,214.76
2020-03-29,215.51
2020-03-30,215.08
2020-03-31,216.55
2020-04-01,217.39
2020-04-02,220.71
2020-04-03,223.84
2020-04-04,220.24
2020-04-05,219.04
2020-04-06,216.96
2020-04-07,220.53
2020-04-08,220.11
2020-04-09,219.29
2020-04-10,217.95
2020-04-11,217.81
2020-04-12,218.83
2020-04-13,219.61
2020-04-14,218.13
2020-04-15,219.92
2020-04-16,216.91
2020-04-17,218.22
2020-04-18,219.41
2020-04-19,216.27
2020-04-20,218.30
2020-04-21,219.80
2020-04-22,220.13
2020-04-23,219.31
2020-04-24,219.62
2020-04-25,217.97
2020-04-26,212.97
2020-04-27,218.80
2020-04-28,217.62
2020-04-29,218.04
2020-04-30,219.50
2020-05-01,217.15
2020-05-02,215.92
2020-05-03,212.30
2020-05-04,218.60
2020-05-05,219.04
2020-05-06,220.02
2020-05-07,216.84
2020-05-08,221.56
2020-05-09,218.47
2020-05-10,216.76
2020-05-11,220.35
2020-05-12,219.06
2020-05-13,219.49
2020-05-14,220.72
2020-05-15,221.01
2020-05-16,216.95
2020-05-17,213.62
2020-05-18,220.42
2020-05-19,219.93
2020-05-20,220.19
2020-05-21,219.00
2020-05-22,220.66
2020-05-23,215.71
2020-05-24,210.40
2020-05-25,209.87
2020-05-26,220.09
2020-05-27,218.69
2020-05-28,217.27
2020-05-29,219.85
2020-05-30,218.89
2020-05-31,209.28
2020-06-01,220.09
2020-06-02,221.70
2020-06-03,220.23
2020-06-04,220.56
2020-06-05,222.56
2020-06-06,214.23
2020-06-07,211.21
2020-06-08,220.95
2020-06-09,219.70
2020-06-10,219.51
2020-06-11,218.56
2020-06-12,220.97
2020-06-13,217.68
2020-06-14,215.70
2020-06-15,217.20
2020-06-16,221.46
2020-06-17,219.19
2020-06-18,222.23
2020-06-19,221.71
2020-06-20,222.29
2020-06-21,209.08
2020-06-22,221.71
2020-06-23,220.55
2020-06-24,220.12
2020-06-25,220.97
2020-06-26,221.56
2020-06-27,220.56
2020-06-28,213.39
2020-06-29,221.05
2020-06-30,221.29
2020-07-01,220.00
2020-07-02,220.60
2020-07-03,221.11
2020-07-04,221.00
2020-07-05,212.72
2020-07-06,220.52
2020-07-07,221.86
2020-07-08,222.20
2020-07-09,221.82
2020-07-10,221.11
2020-07-11,221.48
2020-07-12,212.77
2020-07-13,221.72
2020-07-14,221.73
2020-07-15,222.21
2020-07-16,221.90
2020-07-17,221.38
2020-07-18,220.74
2020-07-19,216.60
2020-07-20,221.87
2020-07-21,220.48
2020-07-22,220.68
2020-07-23,222.11
2020-07-24,222.31
2020-07-25,215.23
2020-07-26,214.84
2020-07-27,219.01
2020-07-28,222.66
2020-07-29,222.66
2020-07-30,223.31
2020-07-31,224.99
2020-08-01,213.73
2020-08-02,216.00
2020-08-03,218.92
2020-08-04,220.28
2020-08-05,224.22
2020-08-06,224.62
2020-08-07,224.85
2020-08-08,218.00
2020-08-09,217.80
2020-08-10,223.44
2020-08-11,225.97
2020-08-12,226.92
2020-08-13,225.39
2020-08-14,225.70
2020-08-15,221.21
2020-08-16,221.39
2020-08-17,224.40
2020-08-18,226.58
2020-08-19,226.26
2020-08-20,226.51
2020-08-21,226.69
2020-08-22,220.95
2020-08-23,223.44
2020-08-24,226.25
2020-08-25,226.47
2020-08-26,225.48
2020-08-27,225.66
2020-08-28,225.53
2020-08-29,226.38
2020-08-30,221.11
2020-08-31,226.34
2020-09-01,226.77
2020-09-02,229.01
2020-09-03,227.98
2020-09-04,227.20
2020-09-05,224.57
2020-09-06,220.29
2020-09-07,225.40
2020-09-08,228.41
2020-09-09,229.77
2020-09-10,230.15
2020-09-11,230.47
2020-09-12,226.39
2020-09-13,222.33
2020-09-14,224.87
2020-09-15,228.96
2020-09-16,229.14
2020-09-17,225.52
2020-09-18,226.90
2020-09-19,228.49
2020-09-20,225.56
2020-09-21,230.26
2020-09-22,230.45
2020-09-23,231.64
2020-09-24,231.64
2020-09-25,231.87
2020-09-26,229.51
2020-09-27,221.85
2020-09-28,230.91
2020-09-29,230.52
2020-09-30,229.39
2020-10-01,232.46
2020-10-02,225.61
2020-10-03,230.29
2020-10-04,219.32
2020-10-05,229.77
2020-10-06,230.38
2020-10-07,232.37
2020-10-08,232.12
