date,value
2020-01-01,25.43
2020-01-02,26.15
2020-01-03,26.78
2020-01-04,25.45
2020-01-05,23.43
2020-01-06,27.70
2020-01-07,28.53
2020-01-08,28.16
2020-01-09,28.39
2020-01-10,27.89
2020-01-11,25.82
2020-01-12,24.35
2020-01-13,27.61
2020-01-14,28.30
2020-01-15,28.15
2020-01-16,28.11
2020-01-17,27.30
2020-01-18,26.99
2020-01-19,23.80
2020-01-20,26.81
2020-01-21,26.17
2020-01-22,26.85
2020-01-23,26.62
2020-01-24,26.02
2020-01-25,23.95
2020-01-26,23.47
2020-01-27,25.63
2020-01-28,24.96
2020-01-29,24.38
2020-01-30,24.72
2020-01-31,24.32
2020-02-01,23.39
2020-02-02,21.41
2020-02-03,22.99
2020-02-04,24.09
2020-02-05,23.93
2020-02-06,24.03
2020-02-07,24.09
2020-02-08,22.61
2020-02-09,21.92
2020-02-10,23.01
2020-02-11,23.24
2020-02-12,22.60
2020-02-13,23.12
2020-02-14,23.00
2020-02-15,20.92
2020-02-16,20.30
2020-02-17,22.17
2020-02-18,21.34
2020-02-19,21.93
2020-02-20,21.52
2020-02-21,21.82
2020-02-22,22.14
2020-02-23,19.31
2020-02-24,21.83
2020-02-25,21.85
2020-02-26,21.84
2020-02-27,21.00
2020-02-28,20.77
2020-02-29,20.45
2020-03-01,19.10
2020-03-02,20.81
2020-03-03,20.83
2020-03-04,19.69
2020-03-05,20.21
2020-03-06,19.48
2020-03-07,18.93
2020-03-08,18.00
2020-03-09,19.44
2020-03-10,18.61
2020-03-11,19.20
2020-03-12,19.90
2020-03-13,19.97
2020-03-14,18.84
2020-03-15,18.22
2020-03-16,20.29
2020-03-17,20.03
2020-03-18,19.97
2020-03-19,20.19
2020-03-20,20.22
2020-03-21,19.94
2020-03-22,18.60
2020-03-23,21.56
2020-03-24,25.04
2020-03-25,25.53
2020-03-26,24.98
2020-03-27,26.02
2020-03-28,26.53
2020-03-29,26.96
2020-03-30,26.44
2020-03-31,25.17
2020-04-01,24.96
2020-04-02,25.33
2020-04-03,24.44
2020-04-04,23.53
2020-04-05,24.06
2020-04-06,23.76
2020-04-07,23.16
2020-04-08,22.82
2020-04-09,23.18
2020-04-10,23.38
2020-04-11,23.13
2020-04-12,22.25
2020-04-13,22.99
2020-04-14,22.90
2020-04-15,22.41
2020-04-16,21.89
2020-04-17,21.57
2020-04-18,21.65
2020-04-19,21.98
2020-04-20,21.92
2020-04-21,21.71
2020-04-22,21.64
2020-04-23,21.27
2020-04-24,20.86
2020-04-25,21.09
2020-04-26,20.61
2020-04-27,20.55
2020-04-28,20.54
2020-04-29,21.09
2020-04-30,21.30
2020-05-01,20.90
2020-05-02,20.95
2020-05-03,20.37
2020-05-04,20.23
2020-05-05,19.98
2020-05-06,20.14
2020-05-07,19.86
2020-05-08,20.84
2020-05-09,20.89
2020-05-10,20.06
2020-05-11,20.14
2020-05-12,19.80
2020-05-13,20.01
2020-05-14,20.13
2020-05-15,19.70
2020-05-16,19.33
2020-05-17,18.95
2020-05-18,18.92
2020-05-19,19.19
2020-05-20,19.01
2020-05-21,18.23
2020-05-22,19.18
2020-05-23,18.40
2020-05-24,18.11
2020-05-25,18.08
2020-05-26,18.90
2020-05-27,18.28
2020-05-28,18.22
2020-05-29,19.14
2020-05-30,18.50
2020-05-31,18.32
2020-06-01,19.28
2020-06-02,20.10
2020-06-03,19.97
2020-06-04,20.62
2020-06-05,21.03
2020-06-06,19.93
2020-06-07,19.90
2020-06-08,20.84
2020-06-09,20.87
2020-06-10,21.07
2020-06-11,21.00
2020-06-12,22.05
2020-06-13,21.48
2020-06-14,21.62
2020-06-15,22.16
2020-06-16,22.86
2020-06-17,23.00
2020-06-18,23.95
2020-06-19,24.65
2020-06-20,24.18
2020-06-21,24.66
2020-06-22,26.47
2020-06-23,27.85
2020-06-24,28.92
2020-06-25,29.73
2020-06-26,31.17
2020-06-27,31.79
2020-06-28,32.37
2020-06-29,34.86
2020-06-30,36.11
2020-07-01,37.69
2020-07-02,39.62
2020-07-03,42.20
2020-07-04,44.42
2020-07-05,44.26
2020-07-06,46.67
2020-07-07,47.19
2020-07-08,47.42
2020-07-09,47.45
2020-07-10,47.82
2020-07-11,48.93
2020-07-12,46.98
2020-07-13,49.28
2020-07-14,50.05
2020-07-15,50.20
2020-07-16,51.03
2020-07-17,51.20
2020-07-18,52.00
2020-07-19,50.41
2020-07-20,53.15
2020-07-21,52.22
2020-07-22,52.33
2020-07-23,51.38
2020-07-24,50.58
2020-07-25,47.99
2020-07-26,49.56
2020-07-27,48.56
2020-07-28,48.92
2020-07-29,48.26
2020-07-30,48.02
2020-07-31,48.66
2020-08-01,45.83
2020-08-02,46.40
2020-08-03,44.92
2020-08-04,47.01
2020-08-05,46.51
2020-08-06,46.38
2020-08-07,45.97
2020-08-08,45.66
2020-08-09,47.57
2020-08-10,44.34
2020-08-11,44.66
2020-08-12,43.52
2020-08-13,44.44
2020-08-14,44.09
2020-08-15,42.56
2020-08-16,45.12
2020-08-17,43.62
2020-08-18,43.34
2020-08-19,43.80
2020-08-20,43.78
2020-08-21,44.55
2020-08-22,43.89
2020-08-23,45.83
2020-08-24,46.58
