date,value
2020-01-01,88.53
2020-01-02,87.13
2020-01-03,88.22
2020-01-04,89.27
2020-01-05,86.55
2020-01-06,88.62
2020-01-07,88.33
2020-01-08,87.64
2020-01-09,87.96
2020-01-10,88.12
2020-01-11,87.19
2020-01-12,86.13
2020-01-13,87.95
2020-01-14,88.75
2020-01-15,87.20
2020-01-16,87.61
2020-01-17,88.11
2020-01-18,87.89
2020-01-19,86.11
2020-01-20,88.04
2020-01-21,88.36
2020-01-22,88.23
2020-01-23,88.77
2020-01-24,88.16
2020-01-25,88.09
2020-01-26,86.62
2020-01-27,87.72
2020-01-28,87.86
2020-01-29,88.20
2020-01-30,88.36
2020-01-31,88.40
2020-02-01,87.58
2020-02-02,85.55
2020-02-03,87.93
2020-02-04,87.73
2020-02-05,87.65
2020-02-06,87.30
2020-02-07,87.36
2020-02-08,84.89
2020-02-09,84.67
2020-02-10,87.51
2020-02-11,87.61
2020-02-12,87.10
2020-02-13,87.08
2020-02-14,87.52
2020-02-15,86.36
2020-02-16,83.53
2020-02-17,87.20
2020-02-18,86.98
2020-02-19,86.73
2020-02-20,87.18
2020-02-21,86.22
2020-02-22,86.54
2020-02-23,85.73
2020-02-24,87.00
2020-02-25,86.97
2020-02-26,87.47
2020-02-27,87.01
2020-02-28,86.82
2020-02-29,86.15
2020-03-01,84.31
2020-03-02,87.27
2020-03-03,87.28
2020-03-04,87.35
2020-03-05,86.71
2020-03-06,87.41
2020-03-07,86.50
2020-03-08,85.00
2020-03-09,86.10
2020-03-10,87.21
2020-03-11,87.89
2020-03-12,87.46
2020-03-13,87.20
2020-03-14,85.20
2020-03-15,84.52
2020-03-16,87.24
2020-03-17,87.22
2020-03-18,87.24
2020-03-19,87.39
2020-03-20,87.49
2020-03-21,85.99
2020-03-22,85.00
2020-03-23,86.50
2020-03-24,87.57
2020-03-25,87.30
2020-03-26,87.90
2020-03-27,88.62
2020-03-28,88.60
2020-03-29,88.92
2020-03-30,89.84
2020-03-31,90.54
2020-04-01,91.01
2020-04-02,91.78
2020-04-03,92.11
2020-04-04,92.79
2020-04-05,93.16
2020-04-06,93.28
2020-04-07,93.88
2020-04-08,93.53
2020-04-09,93.68
2020-04-10,93.94
2020-04-11,93.21
2020-04-12,93.70
2020-04-13,94.71
2020-04-14,94.15
2020-04-15,95.18
2020-04-16,95.47
2020-04-17,95.54
2020-04-18,95.76
2020-04-19,95.21
2020-04-20,95.78
2020-04-21,95.82
2020-04-22,95.69
2020-04-23,95.75
2020-04-24,95.75
2020-04-25,95.80
2020-04-26,95.27
2020-04-27,95.45
