date,value
2020-01-01,97.59
2020-01-02,97.14
2020-01-03,98.14
2020-01-04,100.21
2020-01-05,93.94
2020-01-06,99.66
2020-01-07,98.46
2020-01-08,96.86
2020-01-09,97.87
2020-01-10,99.25
2020-01-11,98.50
2020-01-12,94.54
2020-01-13,98.29
2020-01-14,100.56
2020-01-15,96.11
2020-01-16,99.05
2020-01-17,99.43
2020-01-18,99.49
2020-01-19,93.17
2020-01-20,99.95
2020-01-21,100.71
2020-01-22,100.66
2020-01-23,101.16
2020-01-24,100.58
2020-01-25,101.29
2020-01-26,96.38
2020-01-27,99.83
2020-01-28,99.40
2020-01-29,99.89
2020-01-30,100.80
2020-01-31,101.36
2020-02-01,99.63
2020-02-02,94.86
2020-02-03,101.12
2020-02-04,99.71
2020-02-05,99.90
2020-02-06,99.67
2020-02-07,99.85
2020-02-08,96.31
2020-02-09,94.86
2020-02-10,99.05
2020-02-11,99.51
2020-02-12,98.50
2020-02-13,99.01
2020-02-14,99.89
2020-02-15,98.56
2020-02-16,91.96
2020-02-17,99.86
2020-02-18,99.14
2020-02-19,99.14
2020-02-20,99.36
2020-02-21,96.71
2020-02-22,99.18
2020-02-23,95.40
2020-02-24,99.25
2020-02-25,98.43
2020-02-26,99.42
2020-02-27,99.00
2020-02-28,98.49
2020-02-29,98.35
2020-03-01,92.82
2020-03-02,99.43
2020-03-03,99.26
2020-03-04,99.17
2020-03-05,96.97
2020-03-06,98.81
2020-03-07,98.29
2020-03-08,93.57
2020-03-09,96.29
2020-03-10,98.46
2020-03-11,99.18
2020-03-12,99.04
2020-03-13,98.58
2020-03-14,95.82
2020-03-15,91.93
2020-03-16,97.67
2020-03-17,98.25
2020-03-18,98.32
2020-03-19,99.07
2020-03-20,98.50
2020-03-21,95.54
2020-03-22,91.80
2020-03-23,97.31
2020-03-24,97.32
2020-03-25,96.76
2020-03-26,96.31
2020-03-27,97.43
2020-03-28,96.15
2020-03-29,96.51
2020-03-30,98.14
2020-03-31,99.19
2020-04-01,99.52
2020-04-02,100.72
2020-04-03,100.40
2020-04-04,101.63
2020-04-05,100.84
2020-04-06,102.32
2020-04-07,104.18
2020-04-08,103.52
2020-04-09,103.68
2020-04-10,103.74
2020-04-11,102.63
2020-04-12,103.14
2020-04-13,104.80
2020-04-14,103.01
2020-04-15,105.29
2020-04-16,105.38
2020-04-17,104.86
2020-04-18,105.46
2020-04-19,103.99
2020-04-20,105.47
2020-04-21,105.62
2020-04-22,105.74
2020-04-23,106.00
2020-04-24,105.52
2020-04-25,105.55
2020-04-26,104.33
2020-04-27,105.13
2020-04-28,105.22
2020-04-29,105.34
2020-04-30,105.70
2020-05-01,103.72
2020-05-02,105.93
2020-05-03,104.12
2020-05-04,106.03
2020-05-05,106.01
2020-05-06,105.87
2020-05-07,105.30
2020-05-08,106.40
2020-05-09,104.16
2020-05-10,103.00
2020-05-11,105.35
2020-05-12,105.19
2020-05-13,105.36
2020-05-14,105.86
2020-05-15,105.27
2020-05-16,105.08
2020-05-17,102.20
2020-05-18,104.78
2020-05-19,104.96
2020-05-20,105.08
2020-05-21,104.18
2020-05-22,104.56
2020-05-23,103.51
2020-05-24,101.58
2020-05-25,102.77
2020-05-26,103.69
2020-05-27,103.29
2020-05-28,103.25
2020-05-29,103.32
2020-05-30,103.14
2020-05-31,100.78
2020-06-01,103.21
2020-06-02,104.02
2020-06-03,103.04
2020-06-04,102.85
2020-06-05,102.81
2020-06-06,101.37
2020-06-07,99.57
2020-06-08,102.75
2020-06-09,102.51
2020-06-10,102.58
2020-06-11,102.02
2020-06-12,102.37
2020-06-13,100.30
2020-06-14,101.01
2020-06-15,102.19
2020-06-16,102.16
2020-06-17,101.80
2020-06-18,101.75
2020-06-19,102.11
2020-06-20,100.34
2020-06-21,99.21
2020-06-22,101.44
2020-06-23,101.94
2020-06-24,101.81
