date,value
2020-01-01,29.89
2020-01-02,29.70
2020-01-03,30.10
2020-01-04,30.43
2020-01-05,29.15
2020-01-06,29.70
2020-01-07,30.09
2020-01-08,29.67
2020-01-09,29.86
2020-01-10,30.08
2020-01-11,30.00
2020-01-12,29.70
2020-01-13,29.82
2020-01-14,30.21
2020-01-15,29.24
2020-01-16,29.90
2020-01-17,30.09
2020-01-18,30.17
2020-01-19,29.28
2020-01-20,30.29
2020-01-21,30.33
2020-01-22,30.51
2020-01-23,30.48
2020-01-24,30.51
2020-01-25,30.30
2020-01-26,30.35
2020-01-27,30.04
2020-01-28,30.30
2020-01-29,30.31
2020-01-30,30.64
2020-01-31,30.59
2020-02-01,30.07
2020-02-02,30.26
2020-02-03,30.17
2020-02-04,30.35
2020-02-05,30.28
2020-02-06,30.37
2020-02-07,30.39
2020-02-08,29.45
2020-02-09,29.82
2020-02-10,29.98
2020-02-11,30.34
2020-02-12,30.06
2020-02-13,30.08
2020-02-14,30.15
2020-02-15,29.75
2020-02-16,29.37
2020-02-17,30.48
2020-02-18,30.31
2020-02-19,30.29
2020-02-20,30.30
2020-02-21,30.66
2020-02-22,30.88
2020-02-23,30.49
2020-02-24,30.32
2020-02-25,30.20
2020-02-26,30.36
2020-02-27,30.13
2020-02-28,29.95
2020-02-29,30.42
2020-03-01,29.47
2020-03-02,30.17
2020-03-03,30.54
2020-03-04,30.26
2020-03-05,29.71
2020-03-06,30.31
2020-03-07,29.68
2020-03-08,29.82
2020-03-09,30.16
2020-03-10,31.33
2020-03-11,31.17
2020-03-12,30.57
2020-03-13,30.44
2020-03-14,29.15
2020-03-15,29.35
2020-03-16,30.35
2020-03-17,30.36
2020-03-18,30.31
2020-03-19,30.44
2020-03-20,30.53
2020-03-21,29.86
2020-03-22,29.16
2020-03-23,30.46
2020-03-24,30.01
2020-03-25,29.69
2020-03-26,29.67
2020-03-27,29.54
2020-03-28,29.45
2020-03-29,29.27
2020-03-30,30.45
2020-03-31,30.37
2020-04-01,30.33
2020-04-02,31.29
2020-04-03,31.23
2020-04-04,30.71
2020-04-05,30.10
2020-04-06,31.02
2020-04-07,31.32
2020-04-08,31.24
2020-04-09,31.15
2020-04-10,31.30
2020-04-11,30.54
2020-04-12,30.59
2020-04-13,31.39
2020-04-14,30.51
2020-04-15,31.49
2020-04-16,31.56
2020-04-17,31.41
2020-04-18,31.61
2020-04-19,30.52
2020-04-20,31.51
2020-04-21,31.55
2020-04-22,31.54
2020-04-23,31.59
2020-04-24,31.43
2020-04-25,31.39
2020-04-26,30.52
2020-04-27,31.31
2020-04-28,31.45
2020-04-29,31.52
2020-04-30,31.99
2020-05-01,31.20
2020-05-02,31.65
2020-05-03,31.16
2020-05-04,31.83
2020-05-05,31.81
2020-05-06,31.83
2020-05-07,31.47
2020-05-08,31.67
2020-05-09,30.94
2020-05-10,30.47
2020-05-11,31.60
2020-05-12,31.46
2020-05-13,31.57
2020-05-14,31.56
2020-05-15,31.37
2020-05-16,31.35
2020-05-17,30.50
2020-05-18,31.42
2020-05-19,31.50
2020-05-20,31.68
2020-05-21,31.19
2020-05-22,31.74
2020-05-23,31.20
2020-05-24,30.66
2020-05-25,31.57
2020-05-26,31.29
2020-05-27,31.15
2020-05-28,31.22
2020-05-29,31.53
2020-05-30,31.19
2020-05-31,30.90
2020-06-01,31.44
2020-06-02,31.75
2020-06-03,31.65
2020-06-04,31.64
2020-06-05,31.72
2020-06-06,31.05
2020-06-07,30.54
2020-06-08,31.56
2020-06-09,31.69
2020-06-10,31.66
2020-06-11,31.65
2020-06-12,31.66
2020-06-13,30.99
2020-06-14,31.29
2020-06-15,31.45
2020-06-16,31.69
2020-06-17,31.38
2020-06-18,31.43
2020-06-19,31.37
2020-06-20,30.82
2020-06-21,30.70
2020-06-22,31.22
2020-06-23,31.20
2020-06-24,31.22
2020-06-25,31.27
2020-06-26,31.34
2020-06-27,30.91
2020-06-28,31.41
2020-06-29,31.45
2020-06-30,31.31
2020-07-01,31.22
2020-07-02,31.20
2020-07-03,31.47
2020-07-04,31.00
2020-07-05,31.03
2020-07-06,31.33
2020-07-07,31.41
2020-07-08,31.25
2020-07-09,31.16
2020-07-10,30.86
2020-07-11,30.80
2020-07-12,30.93
2020-07-13,31.39
2020-07-14,31.43
2020-07-15,31.46
2020-07-16,31.32
2020-07-17,31.34
2020-07-18,31.68
2020-07-19,30.93
2020-07-20,30.91
2020-07-21,31.22
2020-07-22,31.14
2020-07-23,31.36
2020-07-24,31.14
2020-07-25,31.63
2020-07-26,31.35
2020-07-27,30.95
2020-07-28,31.17
2020-07-29,31.12
2020-07-30,31.11
2020-07-31,30.77
2020-08-01,31.45
2020-08-02,31.24
2020-08-03,31.80
2020-08-04,30.91
2020-08-05,31.12
2020-08-06,31.12
2020-08-07,31.12
2020-08-08,30.75
2020-08-09,30.71
2020-08-10,31.07
2020-08-11,31.35
2020-08-12,32.54
2020-08-13,31.26
2020-08-14,31.25
2020-08-15,31.81
2020-08-16,30.37
2020-08-17,30.92
2020-08-18,31.08
2020-08-19,31.07
2020-08-20,31.00
2020-08-21,30.96
2020-08-22,30.97
2020-08-23,30.48
2020-08-24,31.05
2020-08-25,31.08
2020-08-26,31.07
2020-08-27,31.07
2020-08-28,31.07
2020-08-29,31.06
2020-08-30,30.54
2020-08-31,30.68
2020-09-01,30.61
2020-09-02,30.86
2020-09-03,31.11
2020-09-04,30.89
2020-09-05,31.47
2020-09-06,30.97
2020-09-07,31.32
2020-09-08,31.34
2020-09-09,31.19
2020-09-10,31.20
2020-09-11,31.19
2020-09-12,31.25
2020-09-13,31.61
2020-09-14,30.85
2020-09-15,31.13
2020-09-16,31.12
2020-09-17,30.72
2020-09-18,30.86
2020-09-19,30.89
